time,T2m,RH,G,Gb,Gd,IR,WS10m,WD10m,SP
00:00,17.11,93.37,0.0,0.0,0.0,362.15,1.4,142.39,98995
01:00,16.95,93.46,0.0,0.0,0.0,363.08,1.3,142.52,98980
02:00,16.79,93.56,0.0,0.0,0.0,364.01,1.21,142.48,98964
03:00,16.68,94.13,0.0,0.0,0.0,366.06,1.24,131.0,98973
04:00,16.57,94.7,0.0,0.0,0.0,368.11,1.27,131.16,98982
05:00,16.45,95.27,0.0,0.0,0.0,370.16,1.31,142.87,98991
06:00,17.3,90.62,88.87,213.54,50.87,370.12,1.49,149.74,99015
07:00,18.14,85.96,231.81,374.63,105.32,370.08,1.68,156.71,99039
08:00,19.05,80.5,354.61,468.33,131.48,369.96,1.87,163.65,99063
09:00,19.55,76.23,428.65,459.49,162.29,365.31,2.0,172.16,99034
10:00,20.05,71.96,485.74,458.89,193.9,360.65,2.12,180.68,99005
11:00,20.55,67.69,488.06,461.98,192.0,355.99,2.25,189.29,98976
12:00,20.42,68.11,417.48,429.61,166.0,354.41,2.13,193.48,98958
13:00,20.29,68.52,375.16,408.05,170.81,352.83,2.02,197.94,98940
14:00,20.15,68.93,257.1,384.01,115.9,351.25,1.91,214.0,98922
15:00,19.68,73.68,127.35,281.62,68.65,353.11,1.71,201.03,98953
16:00,19.19,78.64,9.55,24.69,7.55,354.84,1.5,188.1,98984
17:00,18.71,83.21,0.0,0.0,0.0,356.73,1.3,163.58,99015
18:00,18.34,85.39,0.0,0.0,0.0,357.31,1.33,162.29,99039
19:00,17.98,87.58,0.0,0.0,0.0,357.88,1.36,161.13,99063
20:00,17.63,89.76,0.0,0.0,0.0,358.46,1.39,148.48,99087
21:00,17.49,90.96,0.0,0.0,0.0,359.31,1.43,148.29,99079
22:00,17.35,92.15,0.0,0.0,0.0,360.17,1.46,136.58,99072
23:00,17.21,93.35,0.0,0.0,0.0,361.02,1.49,136.32,99065
